economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
Ghana,GHA,116103404,0.89834895,2,23,2,1,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,,,1,2,1,1,1,1,,2,1,1,1,2,,1,2,1,2,2,2,2,,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,2,2,2,3,2,2,,1,1,4,3,4,4,4,1,1,1,1,1
Ghana,GHA,189084941,0.825162869,2,39,2,1,1,2,1,1,1,,,2,,,,,,,,,,,,,,,2,2,2,1,2,1,2,2,,,,,,,1,1,2,1,2,,,2,1,2,,,,2,2,1,1,2,2,2,2,7,,,1,1,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,2,1,2,,,,,,1,1,1,1,2,1,,1,0,4,1,4,4,2,1,1,1,1,0
Ghana,GHA,152849383,1.184793088,1,15,2,1,1,1,1,1,1,1,2,2,,,1,1,2,,,,2,,2,,1,,,,,,,,,,,,,,,,1,1,2,1,1,2,,2,1,2,,,,2,2,1,2,2,2,2,,2,3,1,1,2,1,1,1,2,1,1,2,,,,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,0,1,4,4,4,4,2,2,1,1,1
Ghana,GHA,163236275,0.55485017,2,24,2,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,2,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,1,3,2,2,1,,1,1,2,3,2,1,,0,0,2,4,4,2,2,5,2,2,0,0
Ghana,GHA,142685683,0.376375302,1,25,2,3,1,1,1,1,0,2,2,2,,,2,2,2,,,,1,1,2,,1,,,,,,,,,,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,1,1,2,1,1,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,1,4,4,4,4,4,5,1,1,0,0
Ghana,GHA,131639781,1.439635609,2,20,2,5,1,2,1,1,1,1,2,1,2,,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,,,1,1,2,1,1,2,,1,1,2,,,,2,1,1,2,2,2,1,,1,3,3,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,2,1,,1,1,4,4,4,4,2,1,1,1,1,1
Ghana,GHA,124909035,0.306325514,2,27,2,3,1,1,1,1,1,1,1,1,2,,1,2,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,2,1,2,,,2,1,2,,,,1,1,1,2,2,2,2,,1,3,2,1,1,,,1,1,,,2,,,,,,1,1,1,2,,,2,1,2,1,2,,,2,,,,,,1,2,2,2,2,2,,1,0,1,1,4,4,4,1,1,1,1,0
Ghana,GHA,182566063,0.368565003,2,27,2,4,2,2,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,,,,,,,1,1,2,1,2,,,2,1,2,,,,1,2,1,2,2,2,2,,1,1,1,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,0,4,4,4,4,2,1,1,1,1,0
Ghana,GHA,174549036,2.861421735,1,40,1,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,5,3,3,2,,,,1,2,1,2,2,,,,,,2,,,,,,,1,2,2,2,2,2,1,1,2,2,1,,1,1,4,1,4,1,,1,0,4,3,4,2,4,3,1,2,0,0
Ghana,GHA,197465747,1.594036006,2,21,2,3,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,1,2,2,2,1,,,,,,,2,1,2,1,2,,,2,1,2,,,,1,2,1,2,2,2,1,,2,1,1,1,1,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,1,2,4,4,4,4,1,1,1,1,0
Ghana,GHA,144382947,1.720272798,1,20,5,3,2,2,1,1,1,2,2,1,4,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,2,1,2,,,2,1,2,,,,2,2,1,2,2,2,2,,7,,,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,1,,1,0,4,4,4,4,4,1,1,1,1,0
Ghana,GHA,154202207,0.395429802,2,30,2,5,1,2,1,1,1,1,2,2,,,1,2,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,1,2,2,1,2,,,2,1,2,,,,2,1,2,1,2,2,2,2,1,1,1,1,1,,,1,1,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,0,1,4,4,4,2,1,1,1,1,0
Ghana,GHA,207029749,1.185121301,2,24,2,5,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,1,1,2,1,3,,,2,1,2,,,,1,2,1,2,2,2,2,,8,,,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,1,0,4,4,4,4,4,1,1,1,1,0
Ghana,GHA,133380737,0.368565003,2,27,2,4,1,2,1,1,1,1,2,1,2,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,2,1,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,1,2,1,1,2,1,2,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,1,0,4,4,4,4,2,3,1,1,1,0
Ghana,GHA,120003038,0.306325514,2,27,2,5,1,2,1,1,1,1,2,2,,,1,1,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,1,1,2,1,2,,,2,1,1,1,1,,2,2,1,2,2,2,1,,1,3,2,1,1,,,1,1,,,1,2,2,,,1,1,2,1,1,,,1,2,2,,,,,2,,,,,,2,2,2,2,3,2,,1,1,1,4,4,4,2,1,1,1,1,1
Ghana,GHA,170482483,1.211104997,1,71,2,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,7,,,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,4,4,5,1,,0,1,4,4,4,4,2,1,2,2,0,0
