resp_id,wave,adopts_mm,has_account,made_digital_payment,income_quintile,education,age,female,urban,owns_mobile,has_internet,employed,borrowed_formal,saved_formal
166250650,2021,0,0,0,1,2.0,43.0,0,1,1,1,1,0,0
131426103,2021,1,1,1,4,2.0,20.0,0,0,1,1,1,0,1
199907296,2021,0,0,0,2,2.0,28.0,1,1,1,1,1,0,0
164600348,2021,0,0,0,1,1.0,55.0,1,1,1,1,0,0,0
203487822,2021,1,1,1,5,2.0,32.0,0,0,1,1,1,0,1
139819519,2021,1,1,1,2,2.0,21.0,1,0,1,1,1,0,0
129142606,2021,1,1,1,3,2.0,37.0,0,1,1,1,1,0,0
194327294,2021,1,1,1,5,2.0,29.0,0,0,1,1,1,0,1
183407796,2021,0,0,0,3,1.0,39.0,1,0,1,1,1,0,0
165874332,2021,1,1,1,4,1.0,40.0,1,0,1,1,1,0,0
116539403,2021,0,0,0,4,1.0,21.0,0,1,0,1,1,0,0
147435418,2021,1,1,1,1,2.0,18.0,0,0,1,1,0,0,0
150302384,2021,1,1,1,2,3.0,49.0,0,0,1,1,1,0,0
156209784,2021,1,1,1,2,1.0,75.0,1,0,1,1,1,0,1
197805150,2021,1,1,1,2,1.0,53.0,0,0,1,1,1,0,1
138670639,2021,1,1,1,2,2.0,26.0,0,0,1,1,1,0,0
151653501,2021,1,1,1,4,2.0,21.0,0,0,1,1,1,0,0
126520418,2021,1,1,1,5,2.0,69.0,0,0,1,1,1,0,0
193072944,2021,0,0,0,1,1.0,15.0,0,1,1,1,0,0,0
162398739,2021,1,1,1,4,2.0,45.0,0,0,1,1,1,0,1
119606216,2021,1,1,1,4,3.0,27.0,1,0,1,1,1,0,1
168104414,2021,1,1,1,4,2.0,29.0,0,0,1,1,1,0,1
133875626,2021,0,0,0,4,1.0,30.0,1,0,1,1,0,0,0
131436613,2021,1,1,1,5,2.0,35.0,0,1,1,1,1,0,0
165212039,2021,0,0,0,1,2.0,61.0,1,0,1,1,1,0,0
207672612,2021,0,0,0,5,2.0,27.0,0,1,1,1,1,0,0
193285769,2021,1,1,1,3,2.0,29.0,0,0,1,1,1,1,0
181537056,2021,1,1,1,3,2.0,40.0,0,0,1,1,1,0,1
163472242,2021,1,1,1,5,3.0,31.0,0,0,1,1,1,1,1
207156545,2021,1,1,1,5,3.0,27.0,1,0,1,1,0,0,1
124840611,2021,1,1,1,2,2.0,46.0,1,0,1,1,1,0,0
147241086,2021,1,1,1,3,2.0,21.0,0,1,1,1,1,0,0
167582359,2021,1,1,1,5,2.0,26.0,0,0,1,1,1,0,0
160327745,2021,0,0,0,5,2.0,35.0,1,1,0,1,1,0,0
142985363,2021,1,1,1,2,1.0,38.0,0,1,1,1,1,0,0
160493085,2021,0,0,0,1,1.0,64.0,1,0,0,1,0,0,0
119196079,2021,1,1,1,2,2.0,46.0,1,1,0,1,1,0,0
147687149,2021,0,0,0,1,1.0,22.0,0,1,0,1,0,0,0
191839380,2021,1,1,1,5,2.0,27.0,0,0,1,1,1,1,0
148632048,2021,0,0,0,4,2.0,18.0,1,0,1,1,0,0,0
112589299,2021,0,0,0,4,2.0,67.0,1,0,1,1,1,0,0
158015633,2021,0,0,0,1,1.0,20.0,1,1,0,1,1,0,0
139013500,2021,1,1,1,2,1.0,32.0,1,1,1,1,1,0,0
154162637,2021,1,1,1,5,2.0,45.0,0,0,1,1,1,0,1
202402610,2021,1,1,1,4,2.0,26.0,1,0,1,1,1,0,1
195716935,2021,1,1,1,4,2.0,25.0,1,0,1,1,1,0,0
176063332,2021,1,1,1,4,2.0,32.0,1,0,1,1,1,0,0
169003031,2021,1,1,1,4,2.0,22.0,0,0,1,1,1,0,0
199016351,2021,0,1,1,2,1.0,45.0,0,1,1,1,1,0,0
191072680,2021,1,1,1,1,2.0,32.0,0,0,1,1,1,0,1
175759228,2021,1,1,1,4,2.0,28.0,1,0,1,1,1,0,0
165311256,2021,1,1,1,3,2.0,21.0,0,1,1,1,0,0,0
171119681,2021,0,0,0,1,2.0,18.0,1,0,1,1,1,0,0
132110818,2021,0,0,0,3,1.0,37.0,1,0,0,1,0,0,0
182726829,2021,1,1,1,5,2.0,26.0,0,1,1,1,1,0,1
202013582,2021,1,1,1,4,2.0,37.0,0,1,1,1,1,0,1
154627895,2021,1,1,1,5,1.0,26.0,1,1,1,1,1,0,0
198368986,2021,0,0,0,1,1.0,30.0,1,1,1,1,1,0,0
205805187,2021,0,0,0,5,1.0,15.0,1,0,0,1,0,0,0
112369441,2021,1,1,1,3,2.0,24.0,0,1,1,1,1,0,0
144750680,2021,0,0,0,2,1.0,56.0,0,1,0,1,1,0,0
193650233,2021,1,1,1,5,2.0,53.0,0,0,1,1,1,0,1
154605630,2021,1,1,1,5,1.0,30.0,1,1,1,1,1,0,0
165729856,2021,1,1,1,5,1.0,23.0,0,0,1,1,1,0,0
113862567,2021,0,0,0,5,1.0,39.0,1,1,0,1,0,0,0
193813346,2021,0,0,0,3,1.0,16.0,1,0,0,1,0,0,0
154812267,2021,1,1,1,4,2.0,30.0,0,0,1,1,1,0,0
114207793,2021,0,0,0,1,1.0,30.0,1,1,0,1,0,0,0
113945631,2021,1,1,1,3,2.0,42.0,0,1,1,1,1,0,0
164487208,2021,0,0,0,1,2.0,17.0,1,0,1,1,0,0,0
118635672,2021,1,1,1,2,2.0,45.0,0,0,1,1,1,1,0
158537425,2021,1,1,1,4,2.0,30.0,0,0,1,1,0,0,0
206375249,2021,1,1,1,5,2.0,18.0,1,0,1,1,0,0,1
194422907,2021,0,1,0,4,2.0,43.0,0,0,1,1,1,0,1
118084774,2021,1,1,1,5,1.0,39.0,0,1,1,1,1,0,0
172232892,2021,1,1,1,4,2.0,33.0,0,0,1,1,1,0,1
118049331,2021,1,1,1,1,1.0,23.0,0,0,1,1,1,0,0
136210745,2021,0,0,0,4,1.0,57.0,0,0,1,1,1,0,0
132003244,2021,1,1,1,4,1.0,50.0,1,1,1,1,1,0,0
112707784,2021,1,1,1,2,2.0,38.0,0,0,1,1,1,0,1
125741155,2021,0,0,0,3,2.0,17.0,0,1,0,1,0,0,0
169938271,2021,1,1,1,4,2.0,54.0,0,0,1,1,1,0,1
143686424,2021,1,1,1,5,1.0,21.0,1,0,1,1,1,0,0
196424905,2021,0,0,0,4,2.0,21.0,1,0,1,1,1,0,0
205811643,2021,1,1,1,4,2.0,30.0,0,0,1,1,1,0,1
178645433,2021,1,1,1,5,2.0,35.0,0,0,1,1,0,0,1
129489052,2021,1,1,1,5,2.0,30.0,1,0,1,1,1,0,1
160272213,2021,1,1,1,5,2.0,30.0,0,0,1,1,1,0,1
122644137,2021,1,1,1,4,3.0,24.0,1,0,1,1,1,1,1
156415797,2021,1,1,1,5,3.0,51.0,0,0,1,1,1,1,1
150028333,2021,1,1,1,5,1.0,26.0,1,0,1,1,1,0,0
115529457,2021,1,1,1,4,2.0,20.0,0,0,1,1,0,0,1
154677585,2021,0,1,1,5,2.0,34.0,0,0,1,1,1,0,1
206374600,2021,1,1,1,5,1.0,23.0,1,0,1,1,1,0,0
203484511,2021,0,0,0,5,1.0,17.0,0,0,1,1,1,0,0
199252570,2021,0,0,0,3,2.0,26.0,1,1,0,1,1,0,0
112254005,2021,1,1,1,1,2.0,19.0,0,0,1,1,1,0,0
117396944,2021,1,1,1,2,1.0,29.0,1,1,1,1,1,0,0
207996990,2021,1,1,1,1,1.0,19.0,1,1,1,1,1,0,0
112830329,2021,1,1,1,5,3.0,45.0,0,0,1,1,1,1,1
125487556,2021,1,1,1,4,2.0,27.0,1,0,1,1,1,0,0
181395976,2021,1,1,1,5,3.0,37.0,1,0,1,1,1,1,1
207333032,2021,1,1,1,2,2.0,25.0,0,0,1,1,0,0,0
153898498,2021,0,1,1,5,2.0,36.0,1,0,1,1,1,1,1
146124230,2021,1,1,1,3,2.0,28.0,1,0,1,1,1,0,0
133863141,2021,1,1,1,5,2.0,30.0,0,1,1,1,1,0,1
145251393,2021,1,1,1,1,2.0,22.0,1,0,1,1,0,0,0
166156422,2021,0,0,0,1,1.0,40.0,1,0,1,1,0,0,0
205442550,2021,1,1,1,1,2.0,31.0,1,1,1,1,0,0,0
167990929,2021,1,1,1,3,2.0,35.0,0,0,1,1,1,0,1
189171028,2021,1,1,1,5,2.0,53.0,0,0,1,1,1,0,0
186698343,2021,1,1,1,4,2.0,27.0,0,0,1,1,1,0,0
209008809,2021,1,1,1,2,1.0,50.0,0,1,1,1,1,0,0
146383413,2021,1,1,1,1,1.0,25.0,1,1,1,1,1,0,0
185056664,2021,1,1,1,4,1.0,17.0,1,1,1,1,1,0,0
142940480,2021,1,1,1,3,2.0,28.0,0,0,1,1,1,0,0
193890161,2021,1,1,1,3,2.0,27.0,1,1,1,1,1,0,1
177401805,2021,1,1,1,4,1.0,19.0,0,1,1,1,1,0,0
202475638,2021,1,1,1,5,2.0,29.0,0,0,1,1,1,0,1
145161170,2021,1,1,1,2,2.0,28.0,0,0,1,1,1,0,0
199093572,2021,0,0,0,5,1.0,68.0,0,1,1,1,1,0,0
207524147,2021,1,1,1,4,2.0,62.0,1,1,1,1,1,1,0
155432029,2021,0,0,0,4,2.0,45.0,0,0,1,1,1,0,0
143108832,2021,1,1,1,2,2.0,24.0,1,1,1,1,1,0,1
183328157,2021,1,1,1,5,2.0,48.0,0,0,1,1,1,0,1
122960654,2021,0,0,0,3,1.0,42.0,1,1,1,1,0,0,0
117389312,2021,0,0,0,2,2.0,20.0,1,1,1,1,1,0,0
183178087,2021,0,0,0,3,2.0,28.0,1,0,1,1,1,0,0
149883627,2021,1,1,1,5,2.0,27.0,0,0,1,1,1,0,1
126800563,2021,1,1,1,3,2.0,30.0,0,1,1,1,1,0,0
192225556,2021,0,1,0,5,2.0,24.0,0,0,1,1,1,0,1
155662071,2021,1,1,1,5,2.0,36.0,1,0,1,1,1,0,0
121668993,2021,1,1,1,5,1.0,42.0,1,1,1,1,1,0,1
177965094,2021,0,0,0,5,1.0,25.0,1,0,0,1,1,0,0
134703958,2021,1,1,1,5,2.0,27.0,1,0,1,1,1,0,0
134649722,2021,1,1,1,5,2.0,32.0,0,0,1,1,1,0,0
112678294,2021,1,1,1,5,3.0,25.0,0,0,1,1,1,0,0
188469948,2021,1,1,1,4,3.0,31.0,0,0,1,1,1,0,0
140234979,2021,1,1,1,3,1.0,40.0,0,0,1,1,1,0,0
179045319,2021,1,1,1,2,2.0,60.0,1,1,1,1,0,0,0
179838075,2021,0,0,0,5,1.0,24.0,0,1,1,1,1,0,0
140406534,2021,1,1,1,4,2.0,30.0,1,1,0,1,1,0,1
195427874,2021,1,1,1,3,3.0,24.0,1,0,1,1,1,0,0
187506672,2021,1,1,1,3,2.0,23.0,1,0,1,1,1,0,0
165991808,2021,0,0,0,4,1.0,39.0,1,0,1,1,1,0,0
150982777,2021,1,1,1,3,2.0,41.0,0,0,1,1,1,0,0
162889117,2021,0,1,0,3,2.0,39.0,1,1,1,1,1,0,1
123046235,2021,1,1,1,4,2.0,27.0,1,0,1,1,1,0,1
128292704,2021,0,0,0,2,2.0,21.0,0,0,1,1,1,0,0
183950642,2021,1,1,1,2,2.0,18.0,0,0,1,1,1,0,1
165459674,2021,1,1,1,1,2.0,25.0,0,0,1,1,1,0,0
113877864,2021,1,1,1,4,1.0,22.0,1,1,1,1,1,0,0
152838654,2021,1,1,1,5,2.0,20.0,0,0,1,1,1,0,1
116156722,2021,1,1,1,5,2.0,29.0,0,0,1,1,1,0,1
186190061,2021,1,1,1,5,1.0,26.0,0,0,1,1,1,0,0
184031457,2021,1,1,1,5,2.0,20.0,1,0,1,1,1,0,0
183620088,2021,1,1,1,5,2.0,25.0,0,1,1,1,1,0,1
140090889,2021,1,1,1,3,1.0,23.0,1,0,1,1,1,0,1
140545002,2021,1,1,1,4,1.0,48.0,0,1,1,1,1,0,0
152719674,2021,0,0,0,2,2.0,39.0,1,0,0,1,1,0,0
164830027,2021,1,1,1,5,2.0,30.0,0,0,1,1,1,0,1
208272040,2021,0,1,1,4,2.0,32.0,0,0,1,1,1,0,0
190688191,2021,1,1,1,5,2.0,25.0,0,1,1,1,1,0,0
135976762,2021,1,1,1,5,2.0,30.0,0,0,1,1,1,0,0
134909848,2021,0,0,0,3,2.0,25.0,1,0,1,1,1,0,0
165611061,2021,1,1,1,5,2.0,23.0,0,0,1,1,1,0,0
152896573,2021,1,1,1,5,2.0,22.0,0,0,1,1,1,0,1
123316687,2021,0,1,1,1,2.0,76.0,0,0,0,1,0,0,0
130894288,2021,1,1,1,4,2.0,25.0,1,0,0,1,0,0,0
121380362,2021,1,1,1,1,1.0,19.0,0,1,0,1,0,0,0
118187340,2021,1,1,1,5,2.0,32.0,1,0,1,1,1,0,1
165244252,2021,1,1,1,4,2.0,20.0,0,0,1,1,1,0,0
125306864,2021,0,0,0,3,1.0,17.0,1,1,1,1,1,0,0
125785000,2021,1,1,1,2,2.0,20.0,1,1,1,1,1,0,0
125469957,2021,1,1,1,4,2.0,18.0,0,1,1,1,1,0,0
118146758,2021,1,1,1,2,2.0,28.0,0,0,1,1,1,0,0
150312407,2021,1,1,1,5,2.0,27.0,0,0,1,1,1,0,0
161020374,2021,0,0,0,2,2.0,30.0,1,0,1,1,0,0,1
144259149,2021,1,1,1,5,1.0,25.0,0,0,1,1,1,0,0
187417361,2021,1,1,1,3,2.0,25.0,1,0,1,1,1,0,0
160459372,2021,1,1,1,1,1.0,21.0,1,0,1,1,0,0,0
198411965,2021,1,1,1,5,1.0,32.0,1,0,1,1,1,0,0
124612693,2021,0,0,0,2,1.0,22.0,1,0,0,1,1,0,0
197409926,2021,1,1,1,5,2.0,23.0,0,0,1,1,1,0,0
161373094,2021,1,1,1,4,2.0,42.0,0,0,1,1,1,0,0
203738017,2021,1,1,1,2,2.0,40.0,0,1,1,1,1,0,0
165122734,2021,1,1,1,3,2.0,24.0,1,1,1,1,1,0,0
196340701,2021,1,1,1,4,2.0,38.0,0,1,1,1,1,0,0
155762086,2021,0,0,0,2,1.0,52.0,0,1,0,1,1,0,0
194439731,2021,1,1,1,5,2.0,20.0,0,0,1,1,1,0,1
179740415,2021,1,1,1,5,2.0,29.0,0,0,1,1,1,0,0
111146058,2021,1,1,1,4,2.0,30.0,0,0,1,1,1,0,0
123796803,2021,1,1,1,5,2.0,23.0,1,0,1,1,1,0,0
143417869,2021,1,1,1,2,2.0,26.0,1,0,1,1,1,0,0
125147191,2021,1,1,1,3,2.0,30.0,1,1,1,1,1,0,1
128991159,2021,0,0,0,2,1.0,23.0,1,1,1,1,1,0,0
206215623,2021,1,1,1,5,2.0,25.0,1,0,1,1,1,0,1
166151626,2021,1,1,1,1,2.0,35.0,1,0,1,1,1,0,0
133884355,2021,0,1,1,1,2.0,34.0,0,0,1,1,1,0,0
178552428,2021,1,1,1,4,1.0,27.0,1,0,1,1,1,0,0
171501303,2021,1,1,1,4,2.0,19.0,1,0,1,1,0,0,0
208231596,2021,1,1,1,5,2.0,30.0,0,1,1,1,1,0,1
187031031,2021,1,1,1,1,2.0,56.0,1,0,1,1,0,0,1
206872842,2021,1,1,1,4,2.0,27.0,0,1,1,1,1,0,0
194755964,2021,0,0,0,4,2.0,24.0,1,0,1,1,0,0,0
211018978,2021,1,1,1,3,2.0,20.0,0,1,1,1,1,0,0
157047688,2021,1,1,1,5,2.0,25.0,1,1,1,1,0,0,1
174023342,2021,1,1,1,2,2.0,21.0,0,1,1,1,1,0,0
140715908,2021,1,1,1,3,2.0,20.0,1,0,1,1,0,0,0
208897984,2021,0,1,0,3,2.0,38.0,0,0,1,1,1,0,1
160003332,2021,0,0,0,2,2.0,35.0,1,1,0,1,1,0,0
137912223,2021,1,1,1,2,2.0,48.0,1,1,1,1,1,0,0
206260718,2021,0,0,0,5,2.0,29.0,0,0,0,1,1,0,0
130933247,2021,0,1,0,1,1.0,25.0,0,1,1,1,1,0,0
147674519,2021,0,1,1,3,2.0,34.0,0,1,1,1,1,0,1
150856804,2021,1,1,1,5,3.0,38.0,0,0,1,1,1,1,1
132904853,2021,1,1,1,2,2.0,33.0,0,0,1,1,1,1,0
170540398,2021,0,0,0,2,2.0,24.0,0,0,1,1,1,0,0
184666876,2021,1,1,1,5,2.0,24.0,0,0,1,1,1,0,0
145287563,2021,0,0,0,2,2.0,21.0,0,0,1,1,1,0,0
202469830,2021,0,0,0,1,1.0,57.0,0,1,1,1,1,0,0
142341220,2021,1,1,1,5,3.0,26.0,1,0,1,1,1,1,1
141432031,2021,1,1,1,4,2.0,38.0,1,1,1,1,1,0,0
154442489,2021,1,1,1,5,1.0,26.0,1,1,1,1,1,0,0
123901696,2021,1,1,1,2,2.0,50.0,1,1,1,1,0,0,0
139160818,2021,1,1,1,4,2.0,18.0,0,0,1,1,1,0,0
168860226,2021,1,1,1,3,2.0,21.0,0,0,1,1,1,0,0
144340914,2021,1,1,1,4,2.0,35.0,1,0,1,1,1,0,0
191014548,2021,1,1,1,4,2.0,21.0,1,0,1,1,1,0,0
146084399,2021,1,1,1,3,2.0,25.0,1,1,1,1,1,0,0
184529757,2021,0,0,0,5,1.0,17.0,0,0,1,1,0,0,0
183823206,2021,0,0,0,1,1.0,35.0,0,0,1,1,0,0,0
156551914,2021,1,1,1,1,2.0,25.0,1,1,1,1,0,0,0
138432822,2021,1,1,1,1,2.0,47.0,0,1,1,1,1,0,0
171804920,2021,1,1,1,2,3.0,41.0,0,0,1,1,1,0,1
208445042,2021,1,1,1,5,2.0,28.0,0,0,1,1,1,0,1
